username,name,id,likes_count,hashtags,created_at,tweet,replies_count,cashtags,retweets_count,language
incomesharks,IncomeSharks,1465793388507058178,10,[],2021-11-30 21:22:31 UTC,@TJmacleod2  https://t.co/VFmSMLRClO is cheaper than Uniswap to buy $DEPO,1,['depo'],0,en
incomesharks,IncomeSharks,1465479250702569481,1,[],2021-11-30 00:34:15 UTC,@degengambleh Always hard with sell the news events. Once you can trade Uniswap on there I expect a nice push up,1,[],0,en
incomesharks,IncomeSharks,1465477609106509824,117,[],2021-11-30 00:27:43 UTC,"$DEPO - Price action going strong. Already up 50% from this dip. Waiting for another all time high then I think it goes parabolic. Still only 1,580 holders which is amazing for a cheaper version of Uniswap  https://t.co/eKxSkT09Rc",15,['depo'],52,en
incomesharks,IncomeSharks,1465470622390120451,128,[],2021-11-29 23:59:58 UTC,"$DEPO - Basically Uniswap but cheaper. Even in Beta it works well and will only get improved. Bonds, revenue sharing, and some big updates less than a month away.",15,['depo'],35,en
incomesharks,IncomeSharks,1463206321021353989,3,[],2021-11-23 18:02:26 UTC,@art_jemm @Reallutions Yeah same process as Uniswap,1,[],0,en
incomesharks,IncomeSharks,1463199065361969152,35,[],2021-11-23 17:33:36 UTC,$DEPO doing almost 2 million in volume which is a lot for a Uniswap microcap. Really nice consistent growth with a lot of upside potential since the marketcap is so low.  https://t.co/P67lpzGUz6,3,['depo'],8,en
incomesharks,IncomeSharks,1463003914584817665,5,[],2021-11-23 04:38:09 UTC,@Brendangle2_0 @nebraskangooner @DePo_io Doubt it since it's usually Uniswap people changing the default slippage,1,[],0,en
incomesharks,IncomeSharks,1462971911814533127,12,[],2021-11-23 02:30:59 UTC,@StrikXForce @DePo_io  https://t.co/VFmSMLRClO is cheaper than Uniswap,1,[],0,en
incomesharks,IncomeSharks,1462969873512812544,177,[],2021-11-23 02:22:53 UTC,$DEPO - Compared it side by side with  https://t.co/C7qKUPY8Cg. Not only were fees cheaper but so were gas fees. At this point you are just paying more money swapping on Uniswap. So yes I'm bullish on a working cheaper solution with more functions and fee sharing. @DePo_io  https://t.co/LABltdVDSb,36,['depo'],59,en
incomesharks,IncomeSharks,1462965509075324928,4,[],2021-11-23 02:05:32 UTC,@orestf2 @DePo_io Works for me. Why are you trying to launch a dapp on mobile haha? You need to be on a browser just like with any Uniswap or other platform...  https://t.co/wAkMWQ2KXx,2,[],0,en
incomesharks,IncomeSharks,1461061069334474753,54,[],2021-11-17 19:57:58 UTC,$COMFI - Nice looking Uniswap play with a nice bounce at the trend line. $10 target still keeps it a 10 million marketcap. Decentralized derivatives and now a mobile version. 5x leverage without liquidiations. @CompliFi_Pro  https://t.co/RHwpP5YsxS,11,['comfi'],8,en
incomesharks,IncomeSharks,1460662427784122370,12,[],2021-11-16 17:33:55 UTC,@Raghavmunjal121 Uniswap or you can use  https://t.co/VFmSMLRClO to buy the token,1,[],0,en
incomesharks,IncomeSharks,1458877876330131466,266,[],2021-11-11 19:22:45 UTC,"@AltcoinDailyio $MUTE - Ability to replace $UNI with 99% cheaper fees, instant transactions, limit orders, and zk rollups  $COMFI - Just look at the chart. Decentralized derivatives  $RVF - Full multi dex aggregator and cross chain. One stop to trade almost all coins on all platforms",23,"['mute', 'uni', 'comfi', 'rvf']",55,en
incomesharks,IncomeSharks,1458856922673602560,166,[],2021-11-11 17:59:29 UTC,"This is essentially $UNI at $.07. Obviously we need to see how they deliver but seeing a major project like $SYS working and funding them while leading the Zk rollup charge gives me a lot of confidence. $SYS is on Binance, super early prediction but I could see $MUTE there too",26,"['uni', 'sys', 'sys', 'mute']",30,en
incomesharks,IncomeSharks,1458856515650002945,5,[],2021-11-11 17:57:52 UTC,@Gar_Fitz1 Would you buy $UNI at $.07,1,['uni'],0,en
incomesharks,IncomeSharks,1458856127211327501,13,[],2021-11-11 17:56:19 UTC,@gran_1t It should be a better $UNI. $10 to $100 is all doable if they deliver and it works.,1,['uni'],1,en
incomesharks,IncomeSharks,1458855790953959430,578,[],2021-11-11 17:54:59 UTC,$MUTE is a 50 million dollar marketcap.   $UNI is a 16 billion marketcap.  $MUTE will be: - 99% cheaper than Uni - Limit orders with instant transactions - No failed transactions - MEV resistant DEX - Private orders (no front running bots) - L2 to L1 in minutes without bridges,62,"['mute', 'uni', 'mute']",109,en
incomesharks,IncomeSharks,1458512787244605441,16,[],2021-11-10 19:12:00 UTC,@RocketVault_ @Uniswap @ethereum @PancakeSwap @BinanceChain @_DFyn @0xPolygon Love seeing so many options,0,[],1,en
incomesharks,IncomeSharks,1457537613921804296,0,[],2021-11-08 02:37:01 UTC,"@JohnCIsMe I am, I bought that on Uniswap",2,[],0,en
incomesharks,IncomeSharks,1457483418782949378,7,[],2021-11-07 23:01:40 UTC,@landofdablessed @basedkarbon I've only tried to buy $BRIDGE on Uniswap,1,['bridge'],0,en
incomesharks,IncomeSharks,1456808735607717891,2,[],2021-11-06 02:20:43 UTC,"@criptopaul Uniswap plays are dropping. Don't blame the coin, volume leaves as $ETH goes up and things like $SHIB steal volume again. I can find you hundreds of Uniswap plays looking like this",2,"['eth', 'shib']",0,en
incomesharks,IncomeSharks,1456375795367100447,0,[],2021-11-04 21:40:22 UTC,@market_xbt @uniswap_gem Yup he still does it daily...,0,[],0,en
incomesharks,IncomeSharks,1456373862677970944,128,[],2021-11-04 21:32:41 UTC,$MUTE - Finally have a dip that will most likely get eaten up quickly. Lots of announcements coming for this one going into the big beta release in Q1. Paying ridiculous gas fees and getting front ran on Uniswap just makes me more excited for this project.  https://t.co/RkbN7BmnaK  https://t.co/wNG8YQn44B,26,['mute'],21,en
incomesharks,IncomeSharks,1456041397329416196,33,[],2021-11-03 23:31:35 UTC,"@SkizoUK Holding $MUTE and $RVF. Both solve problems. $MUTE is a better version of $UNI and $RVF will allow people access to DEXs/CEXs in one location. Both have betas coming soon and both, if they deliver, will melt faces",1,"['mute', 'rvf', 'mute', 'uni', 'rvf']",10,en
incomesharks,IncomeSharks,1455650995057217538,13,['bsc'],2021-11-02 21:40:16 UTC,"@cousincrypt0 @RocketVault_ These will be cross-chain swaps as well which as far as I know hasn't been done yet. Closest competitor would be like $WOO. Plus this is available on #BSC network, DFYN exchange, and Uniswap.",3,['woo'],2,en
incomesharks,IncomeSharks,1455283566351245314,0,[],2021-11-01 21:20:14 UTC,@distracted_db @uniswap_gem Probably bought them. Really strange,0,[],0,en
incomesharks,IncomeSharks,1455283434251685891,1,[],2021-11-01 21:19:43 UTC,@Colaxais @uniswap_gem Wow...they are charging for my stolen content too... Nice,1,[],0,en
incomesharks,IncomeSharks,1455253822926843905,4,[],2021-11-01 19:22:03 UTC,@Niekvandenbos1 I use Uniswap. In this case $RVF is on multiple chains,0,['rvf'],0,en
incomesharks,IncomeSharks,1455245061302538240,4,[],2021-11-01 18:47:14 UTC,@Mroperandi @uniswap_gem I could but usually it's not a huge deal. Just amazed at how resilient this account is,1,[],0,en
incomesharks,IncomeSharks,1455241123262189571,2,[],2021-11-01 18:31:35 UTC,@Tserberis @uniswap_gem It's just theft and they block me,0,[],0,en
incomesharks,IncomeSharks,1455239857966436358,5,[],2021-11-01 18:26:33 UTC,@Vicks_vic @uniswap_gem Thanks,0,[],0,en
incomesharks,IncomeSharks,1455239324866256897,53,[],2021-11-01 18:24:26 UTC,How is @uniswap_gem still able to copy my tweets word for word? Just stealing content again and again...  https://t.co/2hs3xwDrmk,26,[],3,en
incomesharks,IncomeSharks,1454535899799113731,72,[],2021-10-30 19:49:17 UTC,"$RVF - Breaking out of the accumulation channel. Almost no resistance until $.40 area. Beta release less than 30 days. Swap on most DEX's and CEX's with less fees and more liquidity. Will need to hold tokens to save on fees (great use case). On Uniswap, Pancake, and DFYN.  https://t.co/S0QlzACO7o",4,['rvf'],16,en
incomesharks,IncomeSharks,1454154842813845506,43,[],2021-10-29 18:35:06 UTC,"@CryptoWizardd $RVF - The first global liquidity aggregator with a beta release next month. Less gas fees, less slippage, and more liquidity. Available on BSC, DFYN, and Uniswap.  https://t.co/XjIIyqXGkT",3,['rvf'],12,en
incomesharks,IncomeSharks,1454153177880694789,148,[],2021-10-29 18:28:29 UTC,"$RVF - On Pancake, DFYN, and Uniswap. This is an amazing project that's extremely early at a 8 million marketcap. Basically it could become the next DEX to trade all DEX's and CEX's with less fees and more liquidity and minimal slip. BETA coming out next month too. @RocketVault_  https://t.co/xTxtRXu52p",20,['rvf'],35,en
incomesharks,IncomeSharks,1453810615919603713,1,[],2021-10-28 19:47:15 UTC,@awg_thomas @Cryptoprenuerr $UNISTAKE did a 20x. You had a whole month to take profits. These are high risk microcap plays. I had no idea the main dev would get sick and the market would crash wiping out almost ALL uniswap plays. Hence why I take profits on the way up and de-risk.  https://t.co/RruIZkY7Ld,2,[],0,en
incomesharks,IncomeSharks,1453773008707850242,1,[],2021-10-28 17:17:49 UTC,"@invest2nguyen Imagine not taking profits on $UNISTAKE as it went over a 20x in weeks. You had time to sell... $VNLA literally a 100x and then a 20x on the second pump. $BTC crashed the market a while back, and Uniswap plays ALL took a hit. That's why you take profits  https://t.co/lFsp14nRwA",1,"['vnla', 'btc']",1,en
incomesharks,IncomeSharks,1453091092060983297,6,[],2021-10-26 20:08:08 UTC,"@ConorMcTether Uniswap bots, coingecko searching, twitter searching, and a lot of manual work.",2,[],0,en
incomesharks,IncomeSharks,1452720811035353091,6,[],2021-10-25 19:36:46 UTC,@JacobCanfield @solana What exchanges you looking at for these $SOL plays? I've been living in Uniswap for a while and wouldn't mind throwing some $SOL around at some new plays,4,"['sol', 'sol']",0,en
